side,move,elapsed_seconds,x,y,z,outward_progress,gate_links,panels_open,time_scale,image
south,2,0.256,0.000,0.083,-35.100,35.100,0,true,1.00,south_02.png
south,3,0.385,0.000,0.083,-35.650,35.650,0,true,1.00,south_03.png
south,4,0.513,0.000,0.083,-36.200,36.200,0,true,1.00,south_04.png
south,5,0.642,0.000,0.083,-36.750,36.750,0,true,1.00,south_05.png
south,6,0.768,0.000,0.083,-37.300,37.300,0,true,1.00,south_06.png
south,7,0.902,0.000,0.083,-37.850,37.850,0,true,1.00,south_07.png
south,8,1.034,0.000,0.083,-38.400,38.400,0,true,1.00,south_08.png
south,9,1.167,0.000,0.083,-38.950,38.950,0,true,1.00,south_09.png
south,10,1.298,0.000,0.083,-39.500,39.500,0,true,1.00,south_10.png
south,11,1.429,0.000,0.083,-40.050,40.050,0,true,1.00,south_11.png
south,12,1.558,0.000,0.083,-40.600,40.600,0,true,1.00,south_12.png
south,13,1.688,0.000,0.083,-41.150,41.150,0,true,1.00,south_13.png
south,14,1.816,0.000,0.083,-41.700,41.700,0,true,1.00,south_14.png
south,15,1.944,0.000,0.083,-42.250,42.250,0,true,1.00,south_15.png
south,16,2.073,0.000,0.083,-42.800,42.800,0,true,1.00,south_16.png
south,17,2.207,0.000,0.083,-43.350,43.350,0,true,1.00,south_17.png
south,18,2.339,0.000,0.083,-43.900,43.900,0,true,1.00,south_18.png
south,19,2.475,0.000,0.083,-44.450,44.450,0,true,1.00,south_19.png
south,20,2.604,0.000,0.083,-45.000,45.000,0,true,1.00,south_20.png
south,21,2.729,0.000,0.083,-45.550,45.550,0,true,1.00,south_21.png
south,22,2.856,0.000,0.083,-46.100,46.100,0,true,1.00,south_22.png
east,0,0.000,34.000,0.083,0.000,34.000,0,false,1.00,east_00.png
east,1,0.135,34.550,0.083,0.000,34.550,0,false,1.00,east_01.png
east,2,0.271,35.100,0.083,0.000,35.100,0,false,1.00,east_02.png
east,3,0.409,35.650,0.083,0.000,35.650,0,false,1.00,east_03.png
east,4,0.541,36.200,0.083,0.000,36.200,0,false,1.00,east_04.png
east,5,0.673,36.750,0.083,0.000,36.750,0,false,1.00,east_05.png
east,6,0.810,37.300,0.083,0.000,37.300,0,false,1.00,east_06.png
east,7,0.941,37.850,0.083,0.000,37.850,0,false,1.00,east_07.png
east,8,1.076,38.400,0.083,0.000,38.400,0,false,1.00,east_08.png
east,9,1.207,38.950,0.083,0.000,38.950,0,false,1.00,east_09.png
east,10,1.336,39.500,0.083,0.000,39.500,0,false,1.00,east_10.png
east,11,1.464,40.050,0.083,0.000,40.050,0,false,1.00,east_11.png
east,12,1.593,40.600,0.083,0.000,40.600,0,false,1.00,east_12.png
east,13,1.724,41.150,0.083,0.000,41.150,0,false,1.00,east_13.png
east,14,1.853,41.700,0.083,0.000,41.700,0,false,1.00,east_14.png
east,15,1.984,42.250,0.083,0.000,42.250,0,false,1.00,east_15.png
east,16,2.115,42.800,0.083,0.000,42.800,0,false,1.00,east_16.png
east,17,2.246,43.350,0.083,0.000,43.350,0,false,1.00,east_17.png
east,18,2.380,43.900,0.083,0.000,43.900,0,false,1.00,east_18.png
east,19,2.518,44.450,0.083,0.000,44.450,0,false,1.00,east_19.png
east,20,2.641,45.000,0.083,0.000,45.000,0,false,1.00,east_20.png
east,21,2.766,45.550,0.083,0.000,45.550,0,false,1.00,east_21.png
east,22,2.904,46.100,0.083,0.000,46.100,0,false,1.00,east_22.png
west,0,0.000,-34.000,0.083,0.000,34.000,0,false,1.00,west_00.png
west,1,0.126,-34.550,0.083,0.000,34.550,0,false,1.00,west_01.png
west,2,0.263,-35.100,0.083,0.000,35.100,0,false,1.00,west_02.png
west,3,0.405,-35.650,0.083,0.000,35.650,0,false,1.00,west_03.png
west,4,0.540,-36.200,0.083,0.000,36.200,0,false,1.00,west_04.png
west,5,0.675,-36.750,0.083,0.000,36.750,0,false,1.00,west_05.png
west,6,0.810,-37.300,0.083,0.000,37.300,0,false,1.00,west_06.png
west,7,0.946,-37.850,0.083,0.000,37.850,0,false,1.00,west_07.png
west,8,1.081,-38.400,0.083,0.000,38.400,0,false,1.00,west_08.png
west,9,1.219,-38.950,0.083,0.000,38.950,0,false,1.00,west_09.png
west,10,1.353,-39.500,0.083,0.000,39.500,0,false,1.00,west_10.png
west,11,1.484,-40.050,0.083,0.000,40.050,0,false,1.00,west_11.png
west,12,1.614,-40.600,0.083,0.000,40.600,0,false,1.00,west_12.png
west,13,1.744,-41.150,0.083,0.000,41.150,0,false,1.00,west_13.png
west,14,1.873,-41.700,0.083,0.000,41.700,0,false,1.00,west_14.png
west,15,2.004,-42.250,0.083,0.000,42.250,0,false,1.00,west_15.png
west,16,2.137,-42.800,0.084,0.000,42.800,0,false,1.00,west_16.png
west,17,2.269,-43.350,0.085,0.000,43.350,0,false,1.00,west_17.png
west,18,2.406,-43.900,0.087,0.000,43.900,0,false,1.00,west_18.png
west,19,2.544,-44.450,0.089,0.000,44.450,0,false,1.00,west_19.png
west,20,2.682,-45.000,0.090,0.000,45.000,0,false,1.00,west_20.png
west,21,2.808,-45.550,0.092,0.000,45.550,0,false,1.00,west_21.png
west,22,2.946,-46.100,0.094,0.000,46.100,0,false,1.00,west_22.png
